"","imdb_title_id","title","original_title","year","date_published","genre","duration","country","language","director","writer","production_company","actors","description","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"32179","tt0132245","Driven","Driven","2001","2001-04-27","Action",116,"USA, Canada, Australia","English, German, Spanish","Renny Harlin","Jan Skrentny, Neal Tabachnick","Franchise Pictures","Sylvester Stallone, Burt Reynolds, Kip Pardue, Stacy Edwards, Til Schweiger, Gina Gershon, Estella Warren, Cristián de la Fuente, Brent Briscoe, Robert Sean Leonard, Verona Pooth, Jasmin Wagner, Chip Ganassi, John Della Penna, Dan Duran","A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.","4,6",38891,"$ 94000000","$ 32720065","$ 54744738",29,347,114
"33885","tt0164184","Al vertice della tensione","The Sum of All Fears","2002","2002-08-30","Action",124,"USA, Germany, Canada","English, Russian, Ukrainian, German, Arabic","Phil Alden Robinson","Tom Clancy, Paul Attanasio","Paramount Pictures","Ian Mongrain, Russell Bobbitt, James Cromwell, Ken Jenkins, Bruce McGill, John Beasley, Morgan Freeman, Philip Baker Hall, Al Vandecruys, Richard Cohee, Philip Pretten, Alison Darcy, Richard Marner, Ostap Soroka, Robert Martin Robinson","CIA analyst Jack Ryan must stop the plans of a Neo-Nazi faction that threatens to induce a catastrophic conflict between the United States and Russia's President by detonating a nuclear weapon at a football game in Baltimore, Maryland.","6,4",101506,"$ 68000000","$ 118907036","$ 193921372",45,572,175
"34877","tt0180734","Hardball","Hard Ball","2001","2002-03-08","Drama",106,"Germany, USA","English, German","Brian Robbins","Daniel Coyle, John Gatins","Paramount Pictures","Keanu Reeves, Diane Lane, John Hawkes, Bryan Hearne, Julian Griffith, Michael B. Jordan, A. Delon Ellis Jr., Kris D. Lofton, Michael Perkins, Brian M. Reed, DeWayne Warren, Carol Hall, Jacqueline Williams, Freeman Coffey, D.B. Sweeney","An aimless young man who is scalping tickets, gambling, and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend.","6,4",27785,"$ 32000000","$ 40222729","$ 44102389",48,135,88
"36355","tt0206634","I figli degli uomini","Children of Men","2006","2006-11-17","Adventure",109,"USA, UK, Japan","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian","Alfonso Cuarón","Alfonso Cuarón, Timothy J. Sexton","Universal Pictures","Juan Gabriel Yacuzzi, Mishal Husain, Rob Curling, Jon Chevalier, Rita Davies, Kim Fenton, Chris Gilbert, Phoebe Hawthorne, Rebecca Howard, Atalanta White, Laurence Woodbridge, Clive Owen, Maria McErlane, Michael Haughey, Phaldut Sharma","In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.","7,9",456395,"$ 76000000","$ 35552383","$ 70595464",84,1356,324
"36785","tt0215750","Il nemico alle porte","Enemy at the Gates","2001","2001-04-20","Drama",131,"Ireland, UK, France, Germany, USA","English, German, Russian","Jean-Jacques Annaud","Jean-Jacques Annaud, Alain Godard","Swanford Films","Jude Law, Ed Harris, Rachel Weisz, Joseph Fiennes, Bob Hoskins, Ron Perlman, Eva Mattes, Gabriel Thomson, Matthias Habich, Sophie Rois, Ivan Shvedoff, Mario Bandi, Hans Martin Stier, Clemens Schick, Mikhail Matveev","A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.","7,6",238274,"$ 68000000","$ 51401758","$ 96976270",53,708,195
"36950","tt0218922","Original Sin","Original Sin","2001","2001-11-16","Drama",116,"France, Mexico, USA","English, German, Japanese, Latin, Spanish","Michael Cristofer","Cornell Woolrich, Michael Cristofer","Metro-Goldwyn-Mayer (MGM)","Antonio Banderas, Angelina Jolie, Thomas Jane, Jack Thompson, Gregory Itzin, Allison Mackie, Joan Pringle, Cordelia Richards, James Haven, Pedro Armendáriz Jr., Mario Iván Martínez, Harry Porter, Fernando Torre Laphame, Shaula Vega, Lisa Owen","A woman, along with her lover, plans to con a rich man by marrying him, earning his trust, and then running away with all his money. Everything goes as planned until she falls in love with him.","6,1",53017,"$ 42000000","$ 16534221","$ 35402320",33,187,92
"37631","tt0237534","Il patto dei lupi","Le pacte des loups","2001","2001-11-23","Action",142,"France","French, German, Italian","Christophe Gans","Stéphane Cabel, Stéphane Cabel","Canal+","Samuel Le Bihan, Mark Dacascos, Jérémie Renier, Vincent Cassel, Émilie Dequenne, Jacques Perrin, Christian Marc, Karin Kriström, Philippe Nahon, Virginie Darmon, Vincent Cespedes, Hans Meyer, Jean-Paul Farré, Pierre Lavit, Eric Prat","In 18th-century France, the Chevalier de Fronsac and his Native American friend Mani are sent to the Gevaudan province at the king's behest to investigate the killings of hundreds by a mysterious beast.","7",61834,"$ 29000000","$ 11260096","$ 70752904",57,513,205
"37649","tt0238112","Il mandolino del capitano Corelli","Captain Corelli's Mandolin","2001","2001-11-09","Drama",131,"UK, France, USA","English, Greek, German, Italian","John Madden","Shawn Slovo, Louis de Bernières","Universal Pictures","Penélope Cruz, John Hurt, Christian Bale, Irene Papas, Gerasimos Skiadaressis, Aspasia Kralli, Mihalis Giannatos, Dimitris Kaberidis, Pietro Sarubbi, Viki Maragaki, Joanna-Daria Adraktas, Ira Tavlaridis, Katerina Didaskalou, Aimilios Heilakis, Nikos Karathanos","When a fisherman leaves to fight with the Greek army during World War II, his fiancée falls in love with the local Italian commander.","5,9",32547,"$ 57000000","$ 25543895","$ 62112895",36,218,102
"37779","tt0241025","La fiera della vanità","Vanity Fair","2004","2005-03-11","Drama",141,"USA, UK, India","English, French, German","Mira Nair","Matthew Faulk, Mark Skeet","Focus Features","Gabriel Byrne, Angelica Mandy, Roger Lloyd Pack, Ruth Sheen, Kate Fleetwood, Reese Witherspoon, Lillete Dubey, Romola Garai, Tony Maudsley, Deborah Findlay, John Franklyn-Robbins, Paul Bazely, Rhys Ifans, Jonathan Rhys Meyers, Charlie Beall","Growing up poor in London, Becky Sharp defies her poverty-stricken background and ascends the social ladder alongside her best friend, Amelia Sedley.","6,2",20889,"$ 23000000","$ 16136476","$ 19463185",53,157,116
"37861","tt0243232","Dust","Dust","2001","2002-04-05","Drama",127,"UK, Germany, Italy, Republic of North Macedonia","English, Macedonian, German, Turkish","Milcho Manchevski","Milcho Manchevski","Alta Films","Joseph Fiennes, David Wenham, Adrian Lester, Anne Brochet, Nikolina Kujaca, Rosemary Murphy, Vlado Jovanovski, Salaetin Bilal, Vera Farmiga, Matt Ross, Meg Gibson, Tamer Ibrahim, Vladimir Jacev, Vladimir Gjorgjijoski, Zora Georgieva","A New York thief, a tough-as-nails hundred-year-old woman, two brothers from the Wild West, a Macedonian revolutionary and a beautiful pregnant woman, all cross paths in a tale that spans two continents and three centuries.","6,6",2140,"$ 11000000","","$ 108698",41,40,19
